"createdAt";"updatedAt";"f_id";"f_name";"f_typ_code";"is_label";"label_key";"f_description";"f_grp_cd";"is_system_field";"f_icon_class";"f_min_length";"f_max_length"
"";"";"f000011";"grid_action";"10001";"N";"label.grid.action";"label.grid.action.desc";"f000011";"Y";"pencil";0;0
"";"";"f000012";"grid_print";"10002";"N";"label.grid.print";"label.grid.print.desc";"f000011";"Y";"pencil";0;0
"";"";"f011011";"btn_export";"10003";"N";"label.btn.export";"label.btn.export.desc";"f011011";"Y";"pencil";0;0
"";"";"f011012";"btn_grp_entry";"10004";"N";"label.btn.grp.entry";"label.btn.grp.entry.desc";"f011012";"Y";"pencil";0;0
"";"";"f101";"salutation";"22";"Y";"label.salutation";"label.salutation.desc";"101";"Y";"pencil";0;255
"";"";"f102";"salutation";"3";"N";"label.salutation";"label.salutation.desc";"101";"Y";"pencil";0;255
"";"";"f103";"lead_status";"22";"Y";"label.lead.status";"label.lead.status.desc";"103";"Y";"pencil";0;255
"";"";"f104";"lead_status";"3";"N";"label.lead.status";"label.lead.status.desc";"103";"Y";"pencil";0;255
"";"";"f105";"first_name";"22";"Y";"label.first.name";"label.first.name.desc";"105";"Y";"pencil";0;255
"";"";"f106";"first_name";"1";"N";"label.first.name";"label.first.name.desc";"105";"Y";"pencil";0;255
"";"";"f107";"last_name";"22";"Y";"label.last.name";"label.last.name.desc";"107";"Y";"pencil";0;255
"";"";"f108";"last_name";"1";"N";"label.last.name";"label.last.name.desc";"107";"Y";"pencil";0;255
"";"";"f109";"lead_assigned_to";"22";"Y";"label.lead.assigned.to";"label.lead.assigned.to.desc";"109";"Y";"pencil";0;255
"";"";"f110";"lead_assigned_to";"3";"N";"label.lead.assigned.to";"label.lead.assigned.to.desc";"109";"Y";"pencil";0;255
"";"";"f111";"company_name";"22";"Y";"label.company.name";"label.company.name.desc";"111";"Y";"pencil";0;255
"";"";"f112";"company_name";"1";"N";"label.company.name";"label.company.name.desc";"111";"Y";"pencil";0;255
"";"";"f113";"lead_source";"22";"Y";"label.lead.source";"label.lead.source.desc";"113";"Y";"pencil";0;255
"";"";"f114";"lead_source";"3";"N";"label.lead.source";"label.lead.source.desc";"113";"Y";"pencil";0;255
"";"";"f115";"designation";"22";"Y";"label.designation";"label.designation.desc";"115";"Y";"pencil";0;255
"";"";"f116";"designation";"1";"N";"label.designation";"label.designation.desc";"115";"Y";"pencil";0;255
"";"";"f117";"email";"22";"Y";"label.email";"label.email.desc";"117";"Y";"pencil";0;255
"";"";"f118";"email";"2";"N";"label.email";"label.email.desc";"117";"Y";"pencil";0;255
"";"";"f119";"office_number";"22";"Y";"label.office.number";"label.office.number.desc";"119";"Y";"pencil";0;255
"";"";"f120";"office_number";"17";"N";"label.office.number";"label.office.number.desc";"119";"Y";"pencil";0;255
"";"";"f121";"mobile_number";"22";"Y";"label.mobile.number";"label.mobile.number.desc";"121";"Y";"pencil";0;255
"";"";"f122";"mobile_number";"17";"N";"label.mobile.number";"label.mobile.number.desc";"121";"Y";"pencil";0;255
"";"";"f123";"fax_number";"22";"Y";"label.fax.number";"label.fax.number.desc";"123";"Y";"pencil";0;255
"";"";"f124";"fax_number";"17";"N";"label.fax.number";"label.fax.number.desc";"123";"Y";"pencil";0;255
"";"";"f125";"website";"22";"Y";"label.website";"label.website.desc";"125";"Y";"pencil";0;255
"";"";"f126";"website";"21";"N";"label.website";"label.website.desc";"125";"Y";"pencil";0;255
"";"";"f127";"company_description";"22";"Y";"label.company.description";"label.company.description.desc";"127";"Y";"pencil";0;255
"";"";"f128";"company_description";"23";"N";"label.company.description";"label.company.description.desc";"127";"Y";"pencil";0;255
"";"";"f129";"company_no_of_staff";"22";"Y";"label.company.no.of.staff";"label.company.no.of.staff.desc";"129";"Y";"pencil";0;255
"";"";"f130";"company_no_of_staff";"3";"N";"label.company.no.of.staff";"label.company.no.of.staff.desc";"129";"Y";"pencil";0;255
"";"";"f131";"company_main_business";"22";"Y";"label.company.main.business";"label.company.main.business.desc";"131";"Y";"pencil";0;255
"";"";"f132";"company_main_business";"3";"N";"label.company.main.business";"label.company.main.business.desc";"131";"Y";"pencil";0;255
"";"";"f133";"company_annual_turnover";"22";"Y";"label.company.annual.turnover";"label.company.annual.turnover.desc";"133";"Y";"pencil";0;255
"";"";"f1331";"company_annual_turnover_currency";"3";"N";"label.amount.currency";"label.amount.currency.desc";"133";"Y";"pencil";0;255
"";"";"f134";"company_annual_turnover";"21";"N";"label.company.annual.turnover";"label.company.annual.turnover.desc";"133";"Y";"pencil";0;255
"";"";"f135";"company_industry";"22";"Y";"label.company.industry";"label.company.industry.desc";"135";"Y";"pencil";0;255
"";"";"f136";"company_industry";"3";"N";"label.company.industry";"label.company.industry.desc";"135";"Y";"pencil";0;255
"";"";"f137";"address_main";"22";"Y";"label.address.main";"label.address.main.desc";"137";"Y";"pencil";0;255
"";"";"f138";"address_main";"23";"N";"label.address.main";"label.address.main.desc";"137";"Y";"pencil";0;255
"";"";"f139";"address_postal_code";"22";"Y";"label.address.postal.code";"label.address.postal.code.desc";"139";"Y";"pencil";0;255
"";"";"f140";"address_postal_code";"24";"N";"label.address.postal.code";"label.address.postal.code.desc";"139";"Y";"pencil";0;255
"";"";"f141";"address_city";"22";"Y";"label.address.city";"label.address.city.desc";"141";"Y";"pencil";0;255
"";"";"f142";"address_city";"3";"N";"label.address.city";"label.address.city.desc";"141";"Y";"pencil";0;255
"";"";"f143";"address_country";"22";"Y";"label.address.country";"label.address.country.desc";"143";"Y";"pencil";0;255
"";"";"f144";"address_country";"3";"N";"label.address.country";"label.address.country.desc";"143";"Y";"pencil";0;255
"";"";"f145";"address_state";"22";"Y";"label.address.state";"label.address.state.desc";"145";"Y";"pencil";0;255
"";"";"f146";"address_state";"3";"N";"label.address.state";"label.address.state.desc";"145";"Y";"pencil";0;255
"";"";"f147";"facebook_url";"22";"Y";"label.facebook.url";"label.facebook.url.desc";"147";"Y";"facebook";0;255
"";"";"f148";"facebook_url";"21";"N";"label.facebook.url";"label.facebook.url.desc";"147";"Y";"facebook";0;255
"";"";"f149";"twitter_url";"22";"Y";"label.twitter.url";"label.twitter.url.desc";"149";"Y";"twitter";0;255
"";"";"f150";"twitter_url";"21";"N";"label.twitter.url";"label.twitter.url.desc";"149";"Y";"twitter";0;255
"";"";"f151";"linkedin_url";"22";"Y";"label.linkedin.url";"label.linkedin.url.desc";"151";"Y";"linkedin";0;255
"";"";"f152";"linkedin_url";"21";"N";"label.linkedin.url";"label.linkedin.url.desc";"151";"Y";"linkedin";0;255
"";"";"f153";"instagram_url";"22";"Y";"label.instagram.url";"label.instagram.url.desc";"153";"Y";"instagram";0;255
"";"";"f154";"instagram_url";"21";"N";"label.instagram.url";"label.instagram.url.desc";"153";"Y";"instagram";0;255
"";"";"f155";"created_by";"22";"Y";"label.created.by";"label.created.by.desc";"155";"Y";"pencil";0;255
"";"";"f156";"created_by";"22";"N";"label.created.by";"label.created.by.desc";"155";"Y";"pencil";0;255
"";"";"f157";"created_date";"22";"N";"label.created.date";"label.created.date.desc";"155";"Y";"pencil";0;255
"";"";"f158";"last_modified_by";"22";"Y";"label.last.modified.by";"label.last.modified.by.desc";"158";"Y";"pencil";0;255
"";"";"f159";"last_modified_by";"22";"N";"label.last.modified.by";"label.last.modified.by.desc";"158";"Y";"pencil";0;255
"";"";"f160";"last_modified_date";"22";"N";"label.last.modified.date";"label.last.modified.date.desc";"158";"Y";"pencil";0;255
"";"";"f301";"opportunity_name";"22";"Y";"label.opportunity.name";"label.opportunity.name.desc";"f301";"Y";"pencil";0;255
"";"";"f302";"opportunity_name";"1";"N";"label.opportunity.name";"label.opportunity.name.desc";"f301";"Y";"pencil";0;255
"";"";"f303";"expected_sales_amount";"22";"Y";"label.opportunity.sales.amount";"label.opportunity.sales.amount.desc";"f303";"Y";"pencil";0;255
"";"";"f304";"expected_sales_amount";"1";"N";"label.opportunity.sales.amount";"label.opportunity.sales.amount.desc";"f303";"Y";"pencil";0;255
"";"";"f305";"oppotunity_description";"22";"Y";"label.opportunity.description";"label.opportunity.opportunity.description.desc";"f305";"Y";"pencil";0;255
"";"";"f306";"oppotunity_description";"1";"N";"label.opportunity.description";"label.opportunity.opportunity.description.desc";"f305";"Y";"pencil";0;255
"";"";"f307";"currency";"22";"Y";"label.currency";"label.currency.desc";"f307";"Y";"pencil";0;255
"";"";"f308";"currency";"1";"N";"label.currency";"label.currency.desc";"f307";"Y";"pencil";0;255
"";"";"f309";"close_by_date";"22";"Y";"label.close.by.date";"label.close.by.date.desc";"f309";"Y";"pencil";0;255
"";"";"f310";"close_by_date";"11";"N";"label.close.by.date";"label.close.by.date.desc";"f309";"Y";"pencil";0;255
"";"";"f311";"opportunity_status";"22";"Y";"label.opportunity.status";"label.opportunity.status.desc";"f311";"Y";"pencil";0;255
"";"";"f312";"opportunity_status";"1";"N";"label.opportunity.status";"label.opportunity.status.desc";"f311";"Y";"pencil";0;255
"";"";"f313";"percentage_probability";"22";"Y";"label.percentage.probability";"label.percentage.probability.desc";"f313";"Y";"pencil";0;255
"";"";"f314";"percentage_probability";"1";"N";"label.percentage.probability";"label.percentage.probability.desc";"f313";"Y";"pencil";0;255
"";"";"f315";"opportunity_source";"22";"Y";"label.opportunity.source";"label.opportunity.source.desc";"f315";"Y";"pencil";0;255
"";"";"f316";"opportunity_source";"1";"N";"label.opportunity.source";"label.opportunity.source.desc";"f315";"Y";"pencil";0;255
"";"";"f317";"activity_set";"22";"Y";"label.activity.set.assign";"label.activity.set.assign.desc";"f317";"Y";"pencil";0;255
"";"";"f318";"activity_set";"1";"N";"label.activity.set.assign";"label.activity.set.assign.desc";"f317";"Y";"pencil";0;255
"";"";"f401";"account_name";"22";"Y";"label.account.name";"label.account.name.desc";"f401";"Y";"pencil";0;255
"";"";"f402";"account_name";"1";"N";"label.account.name";"label.account.name.desc";"f401";"Y";"pencil";0;255
"";"";"f403";"account_id";"22";"Y";"label.account.id";"label.account.id.desc";"f403";"Y";"pencil";0;255
"";"";"f404";"account_id";"1";"N";"label.account.id";"label.account.id.desc";"f403";"Y";"pencil";0;255
"";"";"f405";"company_website";"22";"Y";"label.company.website";"label.company.website.desc";"f405";"Y";"pencil";0;255
"";"";"f406";"company_website";"1";"N";"label.company.website";"label.company.website.desc";"f405";"Y";"pencil";0;255
"";"";"f407";"super_account";"22";"Y";"label.super.account";"label.super.account.desc";"f407";"Y";"pencil";0;255
"";"";"f408";"super_account";"1";"N";"label.super.account";"label.super.account.desc";"f407";"Y";"pencil";0;255
"";"";"f409";"assigned_to";"22";"Y";"label.assigned.to";"label.assigned.to.desc";"f409";"Y";"pencil";0;255
"";"";"f410";"assigned_to";"1";"N";"label.assigned.to";"label.assigned.to.desc";"f409";"Y";"pencil";0;255
"";"";"f411";"short_description";"22";"Y";"label.short.description";"label.short.description.desc";"f411";"Y";"pencil";0;255
"";"";"f412";"short_description";"23";"N";"label.short.description";"label.short.description.desc";"f411";"Y";"pencil";0;255
"";"";"f413";"rating";"22";"Y";"label.rating";"label.rating.desc";"f413";"Y";"pencil";0;255
"";"";"f414";"rating";"1";"N";"label.rating";"label.rating.desc";"f413";"Y";"pencil";0;255
"";"";"f415";"department";"22";"Y";"label.department";"label.department.desc";"f415";"Y";"pencil";0;255
"";"";"f416";"department";"1";"N";"label.department";"label.department.desc";"f415";"Y";"pencil";0;255
"";"";"f417";"decision_authority";"22";"Y";"label.decision.authority";"label.decision.authority.desc";"f417";"Y";"pencil";0;255
