"createdAt";"updatedAt";"f_type_code";"f_typ_description";"f_data_typ"
"";"";"1";"TEXT";"string"
"";"";"10";"CURRENCY";"number"
"";"";"10001";"ACTION_DROPDOWN";"string"
"";"";"10002";"PRINT_BTN";"button"
"";"";"10003";"EXPORT_BTN";"button"
"";"";"10004";"BTN_GRP_ENTRY";"button"
"";"";"11";"DATE";"date"
"";"";"12";"DATE_TIME";"timestamp"
"";"";"13";"TIME";"timestamp"
"";"";"14";"GEOLOCATION";"string"
"";"";"15";"NUMBER";"number"
"";"";"16";"PERCENT";"number"
"";"";"17";"PHONE";"string"
"";"";"18";"MULTI_SELECT";"string"
"";"";"19";"RICH_TEXT";"string"
"";"";"2";"EMAIL";"string"
"";"";"20";"ENCODED";"string"
"";"";"21";"URL";"string"
"";"";"22";"LABEL";"string"
"";"";"23";"TEXTAREA";"string"
"";"";"24";"ZIPCODE";"string"
"";"";"25";"FILE";"file"
"";"";"26";"ICON_BTN";"button"
"";"";"3";"SELECT";"string"
"";"";"4";"AUTO_NUMBER";"number"
"";"";"5";"FORMULA";"string"
"";"";"6";"SUMMARY";"string"
"";"";"7";"LOOKUP";"string"
"";"";"8";"EXT_LOOKUP";"string"
"";"";"9";"CHECKBOX";"string"
