"id";"createdAt";"updatedAt";"f_id";"scr_id";"tmpt_id";"sec_id";"is_required";"tab_index";"container_id";"label_on_screen";"display_order";"pre_element_id";"post_element_id"
"u001";"";"";"";"s101";"t101";"g201";"null";"0";"";"label.page.actions.nolabel";"0";"";""
"u0011";"";"";"f011012";"s101";"t101";"g201";"N";"1";"u001";"label.page.actions.btn.grp.nolabel";"1";"";""
"u101";"";"";"";"s101";"t101";"g101";"null";"0";"t101";"label.primary.info";"1";"";"u128"
"u102";"";"";"f101";"s101";"t101";"g101";"N";"1";"u101";"label.salutation";"0";"";"u103"
"u103";"";"";"f102";"s101";"t101";"g101";"N";"1";"u101";"label.salutation";"1";"u102";"u104"
"u104";"";"";"f103";"s101";"t101";"g101";"Y";"2";"u101";"label.lead.status";"0";"u103";"u105"
"u105";"";"";"f104";"s101";"t101";"g101";"Y";"2";"u101";"label.lead.status";"2";"u104";"u106"
"u106";"";"";"f105";"s101";"t101";"g101";"N";"3";"u101";"label.first.name";"3";"u105";"u107"
"u107";"";"";"f106";"s101";"t101";"g101";"N";"3";"u101";"label.first.name";"4";"u106";"u108"
"u108";"";"";"f107";"s101";"t101";"g101";"Y";"4";"u101";"label.last.name";"5";"u107";"u109"
"u109";"";"";"f108";"s101";"t101";"g101";"Y";"4";"u101";"label.last.name";"6";"u108";"u110"
"u110";"";"";"f109";"s101";"t101";"g101";"N";"5";"u101";"label.lead.assigned.to";"7";"u109";"u111"
"u111";"";"";"f110";"s101";"t101";"g101";"N";"5";"u101";"label.lead.assigned.to";"8";"u110";"u112"
"u112";"";"";"f111";"s101";"t101";"g101";"Y";"6";"u101";"label.company.name";"9";"u111";"u113"
"u113";"";"";"f112";"s101";"t101";"g101";"Y";"6";"u101";"label.company.name";"10";"u112";"u114"
"u114";"";"";"f113";"s101";"t101";"g101";"N";"7";"u101";"label.lead.source";"11";"u113";"u115"
"u115";"";"";"f114";"s101";"t101";"g101";"N";"7";"u101";"label.lead.source";"12";"u114";"u116"
