"createdAt";"updatedAt";"scr_id";"scr_details";"scr_title";"scr_custom_label";"scr_grp_cd";"scr_parent_id";"scr_layout_columns";"scr_search_url"
"";"";"s101";"Lead_Entry";"label.lead.entry.title";"Lead Entry";"s101";"null";0;"null"
"";"";"s102";"Lead_List";"label.lead.list.title";"Lead List";"s102";"null";0;"null"
"";"";"s103";"Lead_Detail";"label.lead.detail.title";"Lead Detail";"s103";"null";0;"null"
"";"";"s104";"Opportunity_Entry";"label.opportunity.entry.title";"Opportunity Entry";"s104";"null";0;"null"
"";"";"s105";"Opportunity_List";"label.opportunity.list.title";"Opportunity List";"s105";"null";0;"null"
"";"";"s106";"Opportunity_Detail";"label.opportunity.detail.title";"Opportunity Detail";"s103";"null";0;"null"
"";"";"s107";"Account_Entry";"label.account.entry.title";"Account Entry";"s107";"null";0;"null"
"";"";"s108";"Account_List";"label.account.list.title";"Account List";"s108";"null";0;"null"
"";"";"s109";"Account_Detail";"label.account.detail.title";"Account Detail";"s109";"null";0;"null"
"";"";"s110";"Contact_Entry";"label.contact.entry.title";"Contact Entry";"s110";"null";0;"null"
"";"";"s111";"Contact_List";"label.contact.list.title";"Contact List";"s111";"null";0;"null"
"";"";"s112";"Contact_Detail";"label.contact.detail.title";"contact Detail";"s112";"null";0;"null"
"";"";"s113";"Member_List";"label.member.list.title";"Member List";"s112";"null";0;"null"
"";"";"s114";"Member_Detail";"label.member.detail.title";"Member Detail";"s113";"null";0;"null"
"";"";"s115";"Task_Entry";"label.task.entry.title";"Task Entry";"s114";"null";0;"null"
"";"";"s116";"Task_List";"label.task.list.title";"Task List";"s115";"null";0;"null"
"";"";"s117";"Task_Detail";"label.task.detail.title";"Task Detail";"s116";"null";0;"null"
"";"";"s118";"Event_Entry";"label.event.entry.title";"Event Entry";"s114";"null";0;"null"
"";"";"s119";"Event_List";"label.event.list.title";"Event List";"s115";"null";0;"null"
"";"";"s120";"Event_Detail";"label.event.detail.title";"Event Detail";"s116";"null";0;"null"
